Title,Code
Manchita: An AI-Powered Gamified Learning Environment,"Backend: https://github.com/Manchita-Assistant-Project/qag-se-system-backend
Frontend: https://github.com/Manchita-Assistant-Project/qag-se-system-frontend"
Grade-Like-a-Human: Rethinking Automated Assessment with Large Language Models,Dataset: https://github.com/wenjing1170/llm_grader
Harnessing Multi-Agent LLMs for Complex Engineering Problem-Solving: A Framework for Senior Design Projects,https://github.com/AbdullahMushtaq78/Multi-Agent-SDP-Copliot
Multi-Agent Collaborative Framework For Math Problem Generation,https://github.com/aminsmd/QA_GEN
LLM-based Collaborative Agents with Pedagogy-guided Interaction Modeling for Timely Instructive Feedback Generation in Task-oriented Group Discussions,https://github.com/CharlesYang030/Collaborative-Agents
DentEval: Fine-tuning-Free Expert-Aligned Assessment in Dental Education via LLM Agents,https://github.com/DXY0711/DentEval
LLMs as Educational Analysts: Transforming  Multimodal Data Traces Into Actionable Reading Assessment Reports,https://github.com/edavalosanaya/LLMsAsEducationalAnalysts
Enhancing collaborative learning through AI-powered  feedback systems,https://github.com/fintie/collaborative_learning_system
LLM-powered Multi-agent Framework for Goal-oriented Learning in Intelligent Tutoring System,https://github.com/GeminiLight/gen-mentor
Simulating Collaborative Learning with Data-Driven LLM-Agents,https://github.com/Kuminia/Prompts-for-MAS
Exploring Communication Strategies for Collaborative  LLM Agents in Mathematical Problem-Solving,https://github.com/LiangZhang2017/aied_dual_agent
SocraticLM: Exploring Socratic Personalized Teaching with Large Language Models,https://github.com/Ljyustc/SocraticLM
Multi-Agentic LLMs for Personalizing STEM Texts,https://github.com/m-vaccaro/LLMs-and-Personalized-Learning
Synthesizing High-Quality Programming Tasks with LLM-Based Expert and Student Agents,https://github.com/machine-teaching-group/aied2025-pytasksyn
KAQG: A Knowledge-Graph-Enhanced RAG for Difficulty-Controlled Question Generation,https://github.com/mfshiu/kaqg
Simulating Classroom Education with LLM-Empowered Agents,https://github.com/THU-MAIC/SimClass
Prompt Engineering an Informational Chatbot for  Education on Mental Health Using a Multiagent  Approach for Enhanced Compliance With Prompt Instructions: Algorithm Development and Validation,https://github.com/uit-hdl/chatbot-for-mental-health
DevCoach: Supporting Students Learning the Software Development Life Cycle with a Generative AI powered Multi-Agent System,https://github.com/wangt7/DevCoach
Leveraging LLM-based multi-agent simulations to boost participatory design education: An experimental exploration in residential area design,https://github.com/zhangyudi-32/MAPS
